"term","npar","AIC","BIC","logLik","deviance","statistic","df","p.value","iv","dv","data_subset","file_prefix","p_fdr"
"baseline_fit",10,1424.42368634165,1473.13459928776,-702.211843170827,1404.42368634165,NA,NA,NA,"baseline","rt","filteredCorrect","Llama-2-7b-hf",NA
"critical_fit",11,1423.44056409193,1477.02256833265,-700.720282045966,1401.44056409193,2.98312224972233,1,0.0841368229853792,"auc_entropy","rt","filteredCorrect","Llama-2-7b-hf",0.144234553689221
"critical_fit",11,1423.83982992258,1477.4218341633,-700.91991496129,1401.83982992258,2.58385641907421,1,0.107958354233604,"layer_biggest_change_entropy","rt","filteredCorrect","Llama-2-7b-hf",0.161937531350405
"critical_fit",11,1419.4449084004,1473.02691264112,-698.722454200201,1397.4449084004,6.97877794125338,1,0.00824819127361253,"auc_rank_correct","rt","filteredCorrect","Llama-2-7b-hf",0.0329927650944501
"critical_fit",11,1420.46477340846,1474.04677764918,-699.23238670423,1398.46477340846,5.95891293319391,1,0.0146430668993892,"layer_biggest_change_rank_correct","rt","filteredCorrect","Llama-2-7b-hf",0.0439292006981677
"critical_fit",11,1421.28194555215,1474.86394979286,-699.640972776073,1399.28194555215,5.1417407895085,1,0.023357216035306,"auc_logprob_correct","rt","filteredCorrect","Llama-2-7b-hf",0.055086937080541
"critical_fit",11,1424.47405334429,1478.05605758501,-701.237026672145,1402.47405334429,1.94963299736401,1,0.162626404243507,"layer_biggest_change_logprob_correct","rt","filteredCorrect","Llama-2-7b-hf",0.195151685092209
"critical_fit",11,1418.73923245123,1472.32123669194,-698.369616225614,1396.73923245123,7.68445389042677,1,0.00556985321533356,"auc_logprobdiff_pos","rt","filteredCorrect","Llama-2-7b-hf",0.0329927650944501
"critical_fit",11,1421.56726860307,1475.14927284378,-699.783634301533,1399.56726860307,4.85641773858856,1,0.0275434685402705,"auc_logprobdiff_neg","rt","filteredCorrect","Llama-2-7b-hf",0.055086937080541
"critical_fit",11,1425.47051465057,1479.05251889128,-701.735257325284,1403.47051465057,0.953171691086254,1,0.328913282521191,"layer_biggest_change_logprobdiff","rt","filteredCorrect","Llama-2-7b-hf",0.333173637488757
"critical_fit",11,1425.48716331582,1479.06916755654,-701.74358165791,1403.48716331582,0.936523025834504,1,0.333173637488757,"auc_boost_pos","rt","filteredCorrect","Llama-2-7b-hf",0.333173637488757
"critical_fit",11,1424.42773245561,1478.00973669633,-701.213866227805,1402.42773245561,1.99595388604553,1,0.15771973799907,"auc_boost_neg","rt","filteredCorrect","Llama-2-7b-hf",0.195151685092209
"critical_fit",11,1413.47462620912,1467.05663044984,-695.737313104562,1391.47462620912,12.9490601325313,1,0.00032008214867375,"layer_argmax_boost","rt","filteredCorrect","Llama-2-7b-hf",0.003840985784085
